Table,Field,Type,Options,Description
Inventory,Model,Text,,
Inventory,Trim,Text,,
Inventory,Type,Single select,"New, Pre-Owned, Certified Pre-Owned",
Inventory,Body Style,Single select,"Sedan, SUV, Truck, Coupe, Van, Hatchback, Wagon, Convertible",
Inventory,Exterior Color,Text,,
Inventory,Interior Color,Text,,
Inventory,Mileage,Number,,
Inventory,Fuel Type,Single select,"Gas, Hybrid, Electric, Plug-in Hybrid, Diesel",
Inventory,Engine,Text,,
Inventory,Transmission,Single select,"Automatic, Manual, CVT",
Inventory,Drivetrain,Single select,"FWD, RWD, AWD, 4WD",
Inventory,MSRP,Currency,,Sticker price (new)
Inventory,Internet Price,Currency,,Listed price
Inventory,Invoice,Currency,,Dealer cost (new)
Inventory,ACV,Currency,,Actual cash value (used)
Inventory,Min Gross,Currency,,Floor for negotiation
Inventory,Features,Long text,,Key features
Inventory,Description,Long text,,Listing description
Inventory,Image URL,URL,,Main photo
Inventory,Listing URL,URL,,Website link
Inventory,Status,Single select,"Available, Pending, Sold, Incoming, Hold",
Inventory,Days on Lot,Number,,Auto-calculate if possible
Inventory,Date Added,Date,,
Inventory,Last Updated,Date time,,
Inventory,Sold Date,Date,,
Inventory,Sold To,Link to People,,
Inventory,Sold Price,Currency,,
Templates,Name,Text,,Quick reference name
Templates,Category,Single select,"Greeting, Follow-up, Appointment, Info Request, Negotiation, Post-Sale, Check-in, Birthday, Holiday, Be-Back, Introduction, Thank You",
Templates,Body,Long text,,Message with {placeholders}
Templates,Placeholders,Long text,,"List of variables: {Name}, {Vehicle}, etc."
Templates,Use Count,Number,,Times used
Templates,Last Used,Date time,,
Templates,Active,Checkbox,,Still in use
Sources,Name,Text,,Source name
Sources,Type,Single select,"Walk-in, Phone-in, Internet, Referral, Repeat, Service Drive, Social Media, Event, Cold Outreach",
Sources,Channel,Single select,"Organic, Paid, Social, Direct, Referral",
Sources,Active,Checkbox,,Still using this source
Sources,Monthly Cost,Currency,,Ad spend
Sources,Notes,Long text,,
